sku_id,kategori,arsvolum,cv_target,pris,leveringstid_dager,lt_variabilitet,holdbarhet_dager,substitusjonsgrad,kampanjer_ar
S00332,daglig,3354.45,0.444,46.95,3.86,0.144,25.7,0.695,3.33
S00333,premium,274.77,1.409,1294.15,14.58,0.345,526.2,0.212,0.14
S00334,ferskvare,2887.37,0.402,47.87,1.49,0.131,4.5,0.393,1.32
S00335,daglig,4944.06,0.264,31.57,5.26,0.164,24.4,0.776,5.97
S00336,premium,357.92,1.323,932.64,10.46,0.308,586.7,0.131,1.24
S00337,premium,298.69,1.113,1689.14,3.65,0.336,765.9,0.106,0.75
S00338,daglig,3592.57,0.215,23.73,3.61,0.206,7.0,0.465,2.56
S00339,kampanje,4292.63,0.906,42.18,4.24,0.388,46.2,0.351,9.76
S00340,frossen,6722.28,0.447,135.7,27.72,0.218,528.5,0.282,4.49
S00341,frossen,2300.44,0.572,59.62,27.94,0.276,381.9,0.587,2.23
S00342,ferskvare,5249.6,0.449,67.83,1.3,0.18,5.0,0.482,1.77
S00343,premium,443.53,0.538,1334.18,20.99,0.152,386.1,0.302,0.18
S00344,sesong,646.75,0.792,106.46,10.84,0.289,241.3,0.183,6.94
S00345,ikke-mat,552.81,1.166,178.63,7.15,0.236,381.3,0.495,0.89
S00346,reservedel,24.76,1.187,964.84,35.1,0.33,3059.2,0.287,1.75
S00347,reservedel,78.47,1.152,2929.75,41.07,0.335,1180.1,0.004,0.5
S00348,sesong,1156.6,0.849,156.07,6.61,0.268,138.4,0.317,5.24
S00349,premium,48.17,0.702,950.61,14.71,0.188,1371.2,0.252,2.46
S00350,kampanje,3669.86,1.012,91.61,12.75,0.323,71.7,0.34,15.28
S00351,sesong,885.51,0.48,101.36,7.57,0.272,301.2,0.429,5.17
S00352,daglig,7634.22,0.319,33.64,4.62,0.142,29.5,0.439,6.98
S00353,ikke-mat,28.06,1.495,83.79,24.36,0.356,526.7,0.132,3.0
S00354,frossen,2076.89,0.556,160.74,21.66,0.256,409.0,0.579,2.37
S00355,frossen,2075.56,0.497,113.25,18.99,0.263,153.6,0.307,5.44
S00356,kampanje,942.17,0.796,98.99,4.64,0.251,64.5,0.694,16.47
S00357,ikke-mat,320.79,0.821,304.22,14.49,0.473,1481.5,0.279,3.0
S00358,frossen,1165.01,0.384,141.02,26.29,0.25,489.0,0.239,4.59
S00359,daglig,2376.18,0.299,40.87,2.61,0.143,13.2,0.639,4.65
S00360,premium,545.62,1.471,798.27,11.03,0.273,412.9,0.319,1.35
S00361,kampanje,6227.73,1.08,92.36,12.69,0.381,80.6,0.544,15.31
S00362,daglig,4235.61,0.217,15.7,4.64,0.256,24.5,0.527,3.23
S00363,ferskvare,6177.04,0.572,80.61,2.83,0.228,6.8,0.486,1.24
S00364,ferskvare,2487.17,0.387,34.33,1.34,0.243,2.2,0.684,4.8
S00365,kampanje,3747.69,0.765,84.64,5.87,0.388,75.3,0.402,16.53
S00366,ikke-mat,309.58,1.142,302.98,8.99,0.386,760.1,0.209,0.65
S00367,reservedel,118.85,1.672,674.11,21.58,0.417,1097.6,0.207,1.89
S00368,kampanje,1752.38,1.136,29.83,4.43,0.344,144.2,0.637,8.68
S00369,daglig,4925.95,0.241,18.65,5.98,0.113,26.0,0.656,6.41
S00370,premium,274.94,1.444,494.07,3.01,0.33,632.9,0.137,0.56
S00371,ferskvare,4083.58,0.27,83.7,1.62,0.247,6.8,0.357,4.57
S00372,kampanje,6177.2,0.999,29.62,5.89,0.215,120.6,0.695,16.06
S00373,sesong,2735.1,0.789,35.22,18.87,0.223,61.3,0.303,9.56
S00374,ikke-mat,371.9,1.19,119.51,6.44,0.178,1426.4,0.446,0.57
S00375,frossen,1691.36,0.211,126.32,21.7,0.33,264.6,0.422,2.38
S00376,kampanje,2927.73,1.156,96.15,13.23,0.383,127.4,0.671,13.0
S00377,daglig,3487.77,0.183,14.77,3.41,0.24,25.2,0.636,2.88
S00378,daglig,26042.09,0.154,24.03,3.32,0.155,25.7,0.704,6.17
S00379,sesong,2184.93,0.789,55.33,15.37,0.247,194.0,0.145,6.63
S00380,sesong,652.04,0.532,47.23,20.27,0.207,168.3,0.229,9.29
S00381,reservedel,22.61,1.41,438.28,43.37,0.338,3069.6,0.264,0.95
S00382,frossen,926.39,0.421,79.7,17.27,0.207,451.8,0.241,3.23
S00383,kampanje,4095.19,0.602,89.61,4.72,0.295,80.8,0.391,10.27
S00384,frossen,2559.17,0.581,58.13,27.15,0.319,378.7,0.484,4.82
S00385,frossen,4628.2,0.413,88.43,9.21,0.333,105.1,0.31,2.38
S00386,premium,95.71,1.203,1205.56,10.58,0.177,734.7,0.206,2.16
S00387,ikke-mat,2466.82,1.184,436.52,23.91,0.324,1064.7,0.111,3.77
S00388,frossen,1475.84,0.302,199.9,22.09,0.209,117.8,0.21,4.4
S00389,kampanje,4685.94,1.159,74.61,10.17,0.258,39.6,0.595,9.22
S00390,daglig,3074.87,0.243,10.62,3.74,0.242,25.4,0.642,7.08
S00391,reservedel,158.27,1.761,775.87,66.65,0.31,796.8,0.073,0.73
S00392,ferskvare,2348.94,0.434,81.23,1.58,0.178,3.0,0.629,1.79
S00393,sesong,1759.44,0.786,133.42,14.43,0.305,179.8,0.113,3.81
S00394,daglig,2637.03,0.249,34.77,3.43,0.212,18.1,0.671,6.0
S00395,premium,82.07,1.144,1154.29,8.66,0.249,1068.4,0.294,0.41
S00396,kampanje,1684.02,1.13,23.63,12.55,0.233,106.1,0.47,8.12
S00397,ikke-mat,2112.48,1.745,164.7,26.66,0.473,1178.0,0.181,2.74
S00398,reservedel,27.43,2.506,1450.53,26.11,0.255,2767.0,0.292,0.06
S00399,sesong,4002.57,0.487,44.32,16.07,0.28,81.0,0.434,6.66
S00400,ikke-mat,559.32,1.654,375.0,17.9,0.238,1103.7,0.14,2.64
S00401,reservedel,32.8,0.992,1014.48,23.92,0.448,3025.3,0.017,1.7
S00402,sesong,3125.94,0.621,115.67,11.44,0.181,221.2,0.135,9.15
S00403,ikke-mat,694.44,1.275,273.04,29.62,0.237,475.9,0.325,1.32
S00404,reservedel,53.63,0.912,1940.27,25.84,0.275,838.5,0.109,1.76
S00405,sesong,2235.39,0.828,72.65,18.15,0.288,230.6,0.1,3.25
S00406,kampanje,3900.69,1.058,113.76,13.02,0.204,148.8,0.48,17.47
S00407,kampanje,3359.65,1.038,99.3,10.2,0.26,76.6,0.687,13.27
S00408,daglig,2763.08,0.316,30.48,4.21,0.186,26.0,0.764,7.59
S00409,kampanje,1429.69,1.008,103.83,9.63,0.34,142.5,0.571,16.95
S00410,frossen,3201.54,0.399,132.06,7.05,0.371,364.5,0.252,5.27
S00411,sesong,1892.91,0.646,141.05,11.62,0.264,60.2,0.358,8.03
S00412,ikke-mat,136.92,1.196,373.97,22.03,0.247,1765.2,0.383,3.95
S00413,sesong,1424.21,0.828,109.23,7.75,0.259,293.4,0.308,9.08
S00414,reservedel,395.63,1.548,1658.61,35.94,0.243,1169.8,0.251,0.97
S00415,ferskvare,3572.86,0.416,27.33,2.41,0.219,2.4,0.537,1.77
S00416,daglig,2925.62,0.417,37.2,5.54,0.145,14.6,0.588,4.88
S00417,reservedel,200.08,2.348,2774.69,43.19,0.338,2241.3,0.088,1.6
S00418,reservedel,10.59,2.474,2022.8,40.86,0.484,2196.5,0.271,0.37
S00419,kampanje,6519.35,1.109,68.29,12.37,0.261,144.3,0.356,11.68
S00420,reservedel,15.63,1.448,1287.49,59.21,0.303,2903.7,0.022,1.53
S00421,ikke-mat,265.29,1.467,416.06,25.02,0.287,1072.0,0.412,1.17
S00422,premium,229.68,0.861,1489.58,4.56,0.163,1457.0,0.361,2.65
S00423,kampanje,1942.33,0.736,33.0,9.01,0.244,170.3,0.302,9.72
S00424,reservedel,7.81,1.238,784.43,49.36,0.331,2522.0,0.267,1.21
S00425,frossen,5008.29,0.264,87.9,27.25,0.324,214.9,0.38,5.34
S00426,ikke-mat,387.36,1.273,404.07,21.81,0.375,642.1,0.143,3.86
S00427,frossen,3336.39,0.436,45.2,24.26,0.243,452.0,0.414,3.11
S00428,frossen,3057.53,0.526,64.12,8.09,0.351,247.5,0.356,2.99
S00429,ferskvare,5211.77,0.324,38.19,1.41,0.148,1.5,0.363,3.09
S00430,premium,143.16,0.563,540.28,19.35,0.417,1049.7,0.172,1.26
S00431,kampanje,2588.51,0.797,77.58,7.6,0.322,74.4,0.438,17.49
S00432,sesong,1746.36,0.611,104.3,9.45,0.161,285.0,0.168,5.98
S00433,ikke-mat,1160.36,0.713,189.21,28.81,0.365,921.9,0.116,2.4
S00434,ferskvare,7585.86,0.44,71.4,1.85,0.145,1.3,0.31,3.15
S00435,ikke-mat,62.34,1.289,323.72,6.52,0.204,848.7,0.368,1.76
S00436,reservedel,16.92,2.375,2446.12,69.53,0.502,3216.9,0.25,1.46
S00437,ferskvare,6603.14,0.416,62.87,2.03,0.228,3.6,0.628,5.0
S00438,premium,50.56,0.774,1335.39,16.62,0.431,1340.8,0.272,1.74
S00439,reservedel,201.17,1.334,2341.18,57.75,0.376,1338.8,0.057,1.71
S00440,sesong,1536.1,0.495,123.21,9.0,0.325,154.4,0.18,3.59
S00441,ikke-mat,79.54,1.502,235.84,13.6,0.242,771.1,0.471,0.66
S00442,frossen,843.09,0.331,49.58,12.22,0.212,445.5,0.405,3.35
S00443,sesong,1989.71,0.92,154.96,15.89,0.314,301.7,0.297,7.93
S00444,ikke-mat,630.5,1.51,434.73,7.12,0.443,1727.2,0.19,2.1
S00445,ikke-mat,109.5,0.753,189.6,22.45,0.228,839.2,0.109,0.61
S00446,reservedel,86.2,2.01,2104.6,56.7,0.366,1521.3,0.005,0.41
S00447,daglig,7502.8,0.156,17.87,4.66,0.226,28.5,0.719,5.41
S00448,kampanje,2262.93,0.917,26.16,8.31,0.278,94.2,0.412,16.23
S00449,premium,109.97,1.191,1061.35,3.56,0.367,877.6,0.181,0.98
S00450,premium,80.96,1.187,961.46,14.18,0.274,781.8,0.187,1.32
S00451,ikke-mat,256.26,1.554,163.19,22.06,0.375,1317.8,0.343,3.84
S00452,ikke-mat,276.18,1.479,332.18,10.91,0.249,984.1,0.211,1.47
S00453,premium,378.34,0.742,1486.87,10.88,0.362,284.2,0.241,0.08
S00454,ferskvare,4784.06,0.37,86.19,1.65,0.185,2.5,0.548,3.34
S00455,sesong,932.92,0.506,45.58,20.98,0.232,60.6,0.481,3.14
S00456,kampanje,1706.73,1.016,111.46,11.13,0.293,176.2,0.316,19.84
S00457,daglig,7797.52,0.226,17.12,4.65,0.203,19.0,0.77,5.72
S00458,premium,76.29,0.94,413.59,6.46,0.193,1217.2,0.311,1.59
S00459,daglig,3892.79,0.394,54.06,4.19,0.264,18.8,0.59,7.19
S00460,kampanje,2326.65,0.807,50.49,9.19,0.309,129.1,0.472,10.61
S00461,premium,824.48,1.515,531.77,13.08,0.311,1240.7,0.142,2.73
S00462,premium,129.58,1.145,1016.27,3.65,0.299,517.3,0.203,1.95
S00463,ferskvare,5614.92,0.276,28.92,1.38,0.191,2.1,0.653,2.05
S00464,ferskvare,2049.64,0.557,37.15,1.85,0.244,6.7,0.586,1.34
S00465,daglig,2694.84,0.434,15.3,3.58,0.163,10.0,0.678,3.64
S00466,frossen,1253.19,0.236,117.16,10.32,0.286,154.5,0.582,2.58
S00467,reservedel,210.04,1.03,711.2,13.29,0.256,2165.9,0.196,0.17
S00468,frossen,1637.26,0.432,73.65,14.81,0.214,189.1,0.387,5.96
S00469,ferskvare,2648.51,0.398,21.05,1.65,0.136,1.1,0.338,3.27
S00470,reservedel,7.73,1.207,2314.23,31.43,0.541,1426.1,0.162,0.37
S00471,daglig,4297.29,0.198,40.61,3.06,0.134,28.4,0.417,5.39
S00472,ferskvare,5079.24,0.338,48.96,1.18,0.208,2.3,0.377,2.57
S00473,ferskvare,4340.11,0.581,63.9,2.33,0.172,6.4,0.504,2.78
S00474,reservedel,50.74,1.828,466.94,33.56,0.325,3201.2,0.114,1.64
S00475,reservedel,42.06,1.13,2964.91,38.83,0.304,1427.6,0.08,0.73
S00476,ferskvare,1337.55,0.582,65.18,2.09,0.167,6.0,0.64,2.47
S00477,kampanje,2039.37,1.07,116.68,11.04,0.232,117.9,0.348,17.47
S00478,reservedel,57.86,2.082,2919.48,20.86,0.357,2616.1,0.126,0.35
S00479,daglig,4270.12,0.345,38.7,2.62,0.19,15.5,0.51,6.38
S00480,daglig,2982.64,0.312,56.16,4.16,0.223,8.7,0.471,2.61
S00481,ikke-mat,184.08,0.824,137.71,13.08,0.357,1272.8,0.375,3.62
S00482,premium,115.07,1.225,1095.56,8.51,0.422,302.2,0.314,2.18
S00483,frossen,2293.49,0.329,171.58,23.19,0.3,435.5,0.307,4.36
S00484,reservedel,8.19,1.441,1588.68,67.06,0.519,3319.0,0.116,1.99
S00485,frossen,3371.09,0.392,166.74,26.08,0.346,372.1,0.371,4.04
S00486,sesong,1928.55,0.46,95.4,18.7,0.292,302.7,0.256,6.7
S00487,premium,155.84,1.022,608.33,3.56,0.357,736.9,0.225,0.75
S00488,daglig,3971.66,0.281,33.7,4.32,0.101,27.9,0.428,4.71
S00489,sesong,2052.89,0.59,141.8,11.34,0.278,135.9,0.108,5.83
S00490,sesong,1616.14,0.68,155.06,16.31,0.349,150.0,0.416,6.89
S00491,kampanje,4653.91,0.975,109.88,11.26,0.225,134.9,0.494,19.03
S00492,frossen,3696.18,0.242,57.1,8.46,0.299,126.3,0.489,4.21
S00493,frossen,3102.47,0.408,54.38,25.58,0.235,136.1,0.282,5.22
S00494,premium,21.44,1.176,1393.89,16.52,0.207,258.9,0.235,0.61
S00495,premium,91.19,0.994,381.58,13.22,0.206,1049.1,0.121,2.93
S00496,ikke-mat,455.34,0.818,55.64,13.36,0.203,683.9,0.449,2.41
S00497,reservedel,65.68,1.335,3125.75,11.97,0.493,2984.9,0.02,0.34
S00498,sesong,1632.26,0.884,99.81,15.48,0.307,312.6,0.291,6.56
S00499,frossen,2289.5,0.542,38.43,11.11,0.36,243.1,0.26,2.75
S00500,ikke-mat,457.18,1.615,78.26,5.76,0.313,1761.0,0.212,3.84
S00501,ikke-mat,434.3,1.58,324.35,17.8,0.298,1555.6,0.417,3.03
S00502,reservedel,19.67,2.366,740.2,12.52,0.362,3230.2,0.087,1.4
S00503,reservedel,9.41,1.946,484.84,63.8,0.263,3385.7,0.065,1.99
S00504,daglig,8533.57,0.175,13.26,2.3,0.218,25.6,0.561,4.67
S00505,sesong,2259.29,0.794,91.33,16.42,0.349,166.8,0.105,3.88
S00506,frossen,3976.82,0.338,190.1,20.18,0.304,449.1,0.303,5.28
S00507,kampanje,6869.69,1.158,98.79,12.54,0.279,153.6,0.52,15.42
S00508,daglig,2550.73,0.21,37.55,2.24,0.248,26.3,0.768,2.61
S00509,ikke-mat,139.09,1.169,386.1,6.76,0.156,401.4,0.305,3.25
S00510,reservedel,46.26,1.112,1853.87,24.06,0.492,3502.4,0.23,1.75
S00511,ikke-mat,518.39,0.819,77.34,21.4,0.168,1668.0,0.377,3.81
S00512,frossen,4186.37,0.394,157.38,12.1,0.308,386.8,0.592,4.98
S00513,frossen,3933.47,0.436,59.19,16.07,0.257,143.5,0.405,2.66
S00514,daglig,2709.48,0.201,46.18,2.78,0.279,7.6,0.609,3.92
S00515,kampanje,7018.72,1.097,111.53,7.03,0.231,138.0,0.533,10.41
S00516,sesong,1650.32,0.709,114.94,10.75,0.238,115.0,0.403,4.1
S00517,premium,87.57,1.321,231.08,7.92,0.291,942.3,0.376,1.13
S00518,premium,148.45,0.68,794.05,3.94,0.373,372.8,0.177,2.33
S00519,reservedel,58.59,0.904,1673.26,28.3,0.272,2517.8,0.069,1.18
S00520,frossen,2578.8,0.275,57.79,11.97,0.206,228.7,0.561,5.33
S00521,daglig,13497.94,0.32,51.44,2.95,0.159,13.9,0.416,3.89
S00522,kampanje,2494.34,1.143,30.96,8.58,0.276,103.4,0.522,8.24
S00523,sesong,372.92,0.777,115.86,13.45,0.217,105.4,0.334,3.31
S00524,premium,81.41,0.963,863.61,8.89,0.441,403.9,0.145,0.5
S00525,kampanje,473.52,0.703,110.56,6.79,0.33,36.1,0.498,15.85
S00526,ikke-mat,118.79,0.885,381.4,29.25,0.311,1293.4,0.416,0.97
S00527,ferskvare,4256.79,0.522,23.41,1.58,0.18,4.1,0.64,5.98
S00528,premium,532.52,0.799,772.16,11.62,0.298,1275.9,0.331,0.06
S00529,ikke-mat,132.6,1.152,102.26,14.94,0.294,639.1,0.403,1.29
S00530,ferskvare,2788.82,0.431,80.81,1.24,0.117,2.8,0.472,2.49
S00531,frossen,1515.09,0.234,103.28,23.24,0.37,420.0,0.423,4.9
S00532,premium,85.07,0.758,1081.21,16.87,0.245,1017.1,0.244,1.51
S00533,daglig,6573.85,0.41,17.07,3.46,0.11,7.7,0.796,4.96
S00534,daglig,2894.71,0.232,59.0,3.01,0.245,13.5,0.428,6.1
S00535,sesong,4818.68,0.575,126.99,17.32,0.295,67.5,0.381,9.93
S00536,daglig,3491.16,0.232,50.68,2.64,0.232,24.4,0.415,5.32
S00537,reservedel,80.83,2.39,587.78,31.85,0.539,1278.6,0.246,0.16
S00538,frossen,3974.9,0.23,146.85,23.6,0.37,531.6,0.469,5.08
S00539,daglig,6229.68,0.343,54.18,2.94,0.199,23.8,0.481,3.27
S00540,frossen,6423.71,0.374,65.0,13.96,0.279,370.4,0.569,5.95
S00541,kampanje,1677.13,0.759,105.72,6.18,0.221,176.0,0.646,11.64
S00542,ikke-mat,133.32,1.16,179.25,12.17,0.198,1167.0,0.279,2.05
S00543,kampanje,4477.58,0.965,109.96,5.09,0.325,157.4,0.432,10.34
S00544,sesong,1641.69,0.586,88.14,10.22,0.204,257.8,0.121,5.38
S00545,daglig,5765.07,0.216,20.03,2.0,0.195,7.9,0.509,7.97
S00546,ikke-mat,614.93,0.858,174.0,16.59,0.446,1536.9,0.15,0.5
S00547,ikke-mat,1010.85,1.659,92.95,19.36,0.204,1366.7,0.467,1.82
S00548,ferskvare,8199.21,0.453,45.64,2.62,0.151,6.2,0.409,1.79
S00549,ferskvare,4269.44,0.348,64.51,1.28,0.117,1.8,0.331,5.37
S00550,kampanje,1244.25,0.58,96.01,11.37,0.399,82.2,0.414,13.44
S00551,ferskvare,4364.66,0.415,33.34,2.45,0.228,3.4,0.567,3.0
S00552,premium,415.9,1.077,1441.16,20.6,0.283,618.2,0.212,0.4
S00553,premium,511.18,0.971,467.77,9.24,0.388,494.8,0.284,2.7
S00554,kampanje,3126.69,0.676,54.48,9.9,0.301,52.3,0.479,14.52
S00555,ikke-mat,127.47,0.684,184.64,25.11,0.241,1248.6,0.264,1.27
S00556,kampanje,1614.67,0.773,43.67,13.09,0.349,132.3,0.32,9.57
S00557,kampanje,4603.6,0.697,97.91,6.86,0.214,35.5,0.477,15.41
S00558,ikke-mat,80.75,0.733,128.67,18.25,0.277,1069.5,0.47,2.18
S00559,ferskvare,7783.51,0.273,84.91,2.0,0.176,6.5,0.503,3.19
S00560,ferskvare,3964.01,0.481,57.72,1.43,0.206,4.9,0.459,1.02
S00561,daglig,5109.07,0.172,31.53,2.33,0.155,22.1,0.523,7.99
S00562,ferskvare,5669.42,0.455,87.52,2.74,0.148,5.5,0.355,4.42
S00563,ferskvare,3927.5,0.346,86.65,1.63,0.127,2.1,0.492,5.21
S00564,ferskvare,3829.35,0.403,30.65,1.09,0.169,5.9,0.592,3.04
S00565,ikke-mat,894.66,1.295,257.0,22.02,0.328,1738.3,0.271,0.06
S00566,frossen,4418.33,0.4,124.19,18.6,0.343,213.6,0.466,4.82
S00567,reservedel,30.46,1.204,1371.64,57.21,0.564,2459.3,0.09,1.36
S00568,ferskvare,8252.01,0.366,76.99,1.15,0.102,1.7,0.362,5.39
S00569,ferskvare,4119.76,0.4,44.61,1.6,0.121,4.9,0.355,4.88
S00570,ferskvare,11169.24,0.506,75.42,1.25,0.113,6.7,0.485,4.15
S00571,frossen,2294.85,0.402,181.23,12.7,0.355,388.0,0.246,3.17
S00572,daglig,1878.66,0.283,41.77,3.73,0.149,23.0,0.634,5.12
S00573,kampanje,1164.17,0.992,58.75,7.63,0.23,119.5,0.541,12.08
S00574,frossen,1416.5,0.538,52.99,21.6,0.279,539.9,0.29,3.12
S00575,ferskvare,3234.04,0.492,51.07,1.44,0.176,6.3,0.617,3.49
S00576,ferskvare,2380.1,0.313,80.88,2.42,0.186,6.3,0.349,4.41
S00577,ferskvare,768.74,0.413,44.05,2.88,0.149,5.9,0.6,4.34
S00578,sesong,1321.83,0.654,80.66,7.58,0.205,328.3,0.29,5.39
S00579,premium,721.68,1.288,658.71,16.64,0.339,1188.1,0.175,1.89
S00580,sesong,2043.41,0.632,124.17,15.11,0.188,321.8,0.121,7.17
S00581,ikke-mat,194.95,1.561,288.07,24.58,0.379,1374.1,0.191,2.97
S00582,reservedel,5.25,2.567,790.7,24.2,0.543,1431.9,0.108,1.43
S00583,sesong,2061.58,0.693,61.68,8.77,0.152,173.0,0.227,3.22
S00584,sesong,1078.91,0.763,39.2,10.07,0.325,237.6,0.265,6.26
S00585,frossen,1712.89,0.566,185.26,11.7,0.262,162.3,0.323,3.33
S00586,sesong,1920.92,0.545,149.52,6.65,0.151,320.8,0.382,5.49
S00587,ikke-mat,129.41,0.802,238.46,13.83,0.365,683.5,0.365,3.07
S00588,frossen,1727.49,0.218,107.53,23.25,0.33,405.8,0.361,2.94
S00589,frossen,1089.0,0.49,67.5,13.12,0.301,309.0,0.44,3.75
S00590,frossen,1910.03,0.536,180.05,20.22,0.327,364.1,0.374,3.29
S00591,ikke-mat,208.16,0.609,390.66,6.16,0.334,1262.9,0.179,3.58
S00592,frossen,942.95,0.554,160.89,12.06,0.23,232.3,0.359,2.98
S00593,sesong,3967.11,0.865,50.69,20.68,0.195,188.6,0.323,3.84
S00594,reservedel,80.63,1.367,1793.72,42.98,0.441,882.6,0.051,0.32
S00595,reservedel,33.42,2.467,1680.42,47.41,0.343,1529.4,0.151,0.59
S00596,kampanje,5695.76,0.844,70.57,13.84,0.245,103.2,0.36,12.2
S00597,reservedel,16.54,1.888,1380.11,13.09,0.573,1931.9,0.235,0.83
S00598,ikke-mat,121.72,0.949,214.89,23.97,0.27,897.0,0.498,2.22
S00599,daglig,5332.09,0.398,53.09,4.25,0.159,7.5,0.646,6.95
S00600,ikke-mat,90.48,0.798,165.23,17.75,0.443,615.8,0.345,3.01
S00601,kampanje,1468.54,1.152,80.15,11.67,0.211,105.9,0.549,11.68
S00602,reservedel,32.15,1.842,1803.95,12.51,0.376,1346.5,0.275,1.95
S00603,sesong,3123.32,0.56,92.11,18.99,0.25,76.9,0.116,4.59
S00604,kampanje,1664.32,0.954,76.3,7.19,0.386,79.7,0.634,18.75
S00605,premium,134.75,0.804,1253.49,4.58,0.292,458.2,0.119,0.01
S00606,ferskvare,6044.77,0.456,49.14,1.6,0.249,6.6,0.35,3.08
S00607,frossen,902.77,0.347,158.14,9.61,0.266,412.4,0.45,5.35
S00608,ikke-mat,481.68,0.809,69.4,9.8,0.151,1101.1,0.311,2.63
S00609,frossen,2487.23,0.47,43.96,25.19,0.205,328.7,0.558,4.29
S00610,ferskvare,5684.25,0.489,24.18,2.35,0.232,6.8,0.477,2.72
S00611,ikke-mat,480.04,0.909,118.86,9.26,0.311,613.4,0.108,0.21
S00612,premium,261.97,0.58,317.09,11.12,0.224,1412.2,0.373,1.21
S00613,frossen,2439.03,0.215,83.32,9.58,0.22,342.4,0.24,2.41
S00614,ferskvare,8128.24,0.405,25.32,1.01,0.129,2.4,0.62,5.58
S00615,sesong,1585.1,0.806,111.5,7.95,0.172,193.5,0.326,3.97
S00616,ferskvare,2555.75,0.357,34.6,1.92,0.198,4.1,0.381,1.51
S00617,ikke-mat,1136.67,0.675,153.25,25.1,0.413,1643.7,0.341,1.69
S00618,premium,114.59,0.713,1241.28,13.53,0.196,1313.6,0.211,0.15
S00619,ikke-mat,72.7,1.7,246.16,28.91,0.456,1569.8,0.444,1.53
S00620,kampanje,2527.46,0.925,91.97,5.78,0.346,173.6,0.421,19.83
S00621,sesong,641.53,0.506,132.05,13.88,0.211,245.6,0.233,6.14
S00622,ferskvare,11113.25,0.484,72.18,2.17,0.249,2.4,0.405,1.46
S00623,ikke-mat,68.94,1.471,184.18,5.31,0.371,1823.1,0.218,0.74
S00624,frossen,2768.15,0.37,76.4,14.29,0.328,245.3,0.358,2.16
S00625,daglig,6725.16,0.248,14.32,4.54,0.273,7.9,0.458,2.88
S00626,reservedel,26.41,2.466,1445.84,30.63,0.506,2895.7,0.074,0.32
S00627,ferskvare,4402.27,0.493,64.94,2.66,0.142,3.0,0.317,5.34
S00628,kampanje,4736.91,0.744,26.94,11.23,0.35,129.9,0.382,18.96
S00629,ferskvare,3172.72,0.478,82.83,2.86,0.189,3.5,0.445,5.1
S00630,premium,122.62,0.585,427.5,19.2,0.415,1398.3,0.228,2.35
S00631,daglig,8779.95,0.194,59.85,2.12,0.219,22.0,0.673,3.53
S00632,premium,464.55,0.738,1526.46,6.94,0.359,1182.8,0.157,0.71
S00633,daglig,6553.53,0.207,32.78,5.72,0.212,15.9,0.791,4.78
S00634,premium,268.41,0.953,699.49,8.86,0.356,232.3,0.305,0.6
S00635,frossen,1883.75,0.421,155.34,14.45,0.233,191.9,0.527,3.07
S00636,ferskvare,4401.37,0.366,29.15,2.45,0.17,1.2,0.684,1.74
S00637,daglig,5199.58,0.297,49.27,2.02,0.286,21.9,0.78,6.9
S00638,kampanje,5121.55,0.941,55.73,8.43,0.332,94.0,0.593,9.1
S00639,frossen,1382.29,0.578,60.67,9.71,0.362,458.4,0.496,5.84
S00640,premium,181.77,1.409,763.26,12.67,0.284,187.5,0.272,2.24
S00641,reservedel,79.78,1.802,636.13,48.76,0.277,906.2,0.206,0.22
S00642,sesong,3155.82,0.82,37.18,17.96,0.309,103.1,0.307,3.68
S00643,kampanje,1478.54,1.164,40.77,10.83,0.226,61.4,0.48,14.88
S00644,ikke-mat,156.92,0.6,190.15,14.15,0.459,1697.4,0.452,0.57
S00645,ikke-mat,1865.46,0.975,315.3,10.93,0.263,1621.2,0.2,3.86
S00646,ferskvare,5298.08,0.258,34.12,1.34,0.176,1.7,0.55,5.37
S00647,frossen,2050.54,0.36,164.68,19.42,0.22,331.7,0.387,3.31
S00648,kampanje,5764.61,1.188,37.6,5.93,0.229,115.5,0.477,10.99
S00649,sesong,1012.33,0.591,148.98,9.9,0.19,351.1,0.424,5.4
S00650,ferskvare,6595.67,0.432,41.01,2.68,0.213,2.8,0.543,2.85
S00651,ikke-mat,124.37,1.26,289.37,20.0,0.343,788.5,0.489,2.49
S00652,daglig,6882.86,0.286,24.39,2.26,0.17,11.1,0.665,7.27
S00653,premium,89.9,1.237,438.83,19.73,0.259,309.5,0.152,2.8
S00654,kampanje,5240.17,0.98,35.62,5.94,0.376,52.2,0.308,14.01
S00655,kampanje,4212.62,0.633,118.22,10.77,0.37,142.8,0.579,12.61
S00656,premium,126.5,1.289,1346.74,20.11,0.321,557.1,0.247,1.84
S00657,ferskvare,5707.95,0.455,15.71,2.14,0.195,6.5,0.465,3.87
S00658,ferskvare,7619.03,0.436,20.05,2.79,0.237,4.3,0.523,1.29
S00659,ferskvare,2343.0,0.498,18.53,2.42,0.143,4.9,0.551,2.13
S00660,frossen,3805.18,0.534,134.92,8.44,0.289,230.3,0.457,4.46
S00661,reservedel,24.56,2.149,2478.44,13.54,0.321,1954.3,0.054,0.84
S00662,daglig,1445.27,0.184,43.43,3.05,0.242,8.1,0.625,4.35
S00663,daglig,6132.15,0.263,41.14,2.91,0.216,8.9,0.574,3.1
S00664,premium,157.59,0.989,1145.24,9.49,0.237,439.7,0.374,2.4
